177,居る,いる,"(hum) to be (animate), to exist"
178,取る,とる,to take
179,始まる,はじまる,to begin
180,妹,いもうと,younger sister
181,何～,なん～,what sort of ～
182,,おまわりさん,policeman (friendly term)
183,,ラジオ,radio
184,大使館,たいしかん,embassy
185,靴下,くつした,socks
186,,うるさい,"noisy, loud, annoying"
187,,～たち,plural suffix
188,来月,らいげつ,next month
189,～杯,～はい,counter for cupfuls
190,行く,いく/ゆく,to go
191,,おなか,stomach
192,,ギター,guitar
193,六つ,むっつ,six
194,作文,さくぶん,"composition, writing"
195,時間,じかん,time
196,朝御飯,あさごはん,breakfast
197,時々,ときどき,sometimes
198,外,ほか,"other place, the rest"
199,昨夜,ゆうべ,last night
200,葉書,はがき,postcard
201,九,きゅう,nine
202,弟,おとうと,younger brother
203,冬,ふゆ,winter
204,買う,かう,to buy
205,撮る,とる,to take (a photo)
206,青,あお,blue
207,電気,でんき,"electricity, (electric) light"
208,お手洗い,おてあらい,"toilet, lavatory, bathroom"
209,,たぶん,"perhaps, probably"
210,速い,はやい,"quick, fast"
211,早い,はやい,early
212,引く,ひく,to pull
213,,あちら,"there, yonder, that"
214,金曜日,きんようび,Friday
215,洗う,あらう,to wash
216,働く,はたらく,to work
217,掃除,そうじ（する）,"cleaning, sweeping"
218,喫茶店,きっさてん,coffee lounge
219,女の子,おんなのこ,girl
220,木,き,"tree, wood"
221,一つ,ひとつ,one
222,下手,へた,"unskillful, poor"
223,上,うえ,"above, on top of"
224,,スリッパ,slippers
225,,そう/そうです,"appears, to be the case"
226,頼む,たのむ,"to request, to ask"
227,左,ひだり,left hand side
228,脱ぐ,ぬぐ,to take off clothes
229,,はし,chopsticks
230,同じ,おなじ,"same, identical, similar"
231,話す,はなす,to speak
232,,プール,swimming pool
233,軽い,かるい,"light, non-serious, minor"
234,漢字,かんじ,"kanji, Chinese character"
235,難しい,むずかしい,difficult
236,,バター,butter
237,曇り,くもり,"cloudiness, cloudy weather"
238,南,みなみ,"South, proceeding south"
239,伯母さん/叔母さん,おばさん,aunt
240,重い,おもい,heavy
241,強い,つよい,"strong, powerful"
242,,ええ,yes
243,,つける,to turn on (eg a light)
244,七つ,ななつ,seven
245,片仮名,かたかな,katakana
246,自動車,じどうしゃ,automobile
247,今年,ことし,this year
248,月曜日,げつようび,Monday
249,,レストラン,restaurant
250,,アパート,apartment (abbr)
251,文章,ぶんしょう,"sentence, text"
252,九,く,nine
253,磨く,みがく,to brush (teeth)
254,土曜日,どようび,Saturday
255,二つ,ふたつ,two
256,,かばん,"bag, basket"
257,売る,うる,to sell
258,,テープ,tape
259,曇る,くもる,"to become cloudy, to become dim"
260,,ふろ,bath
261,,どの,which
262,食べる,たべる,to eat
263,千,せん,"thousand, many"
264,,ああ,"Ah!, Oh!"
265,映画,えいが,"movie, film"
266,二人,ふたり,two people
267,若い,わかい,young
